name,type,prompt
Sophie,character,"solo, single person, 28-year-old American woman, shoulder-length brown hair, determined hazel eyes, wearing a beige trench coat and dark scarf, journalist appearance, natural makeup, 1990s style, photorealistic"
Tom_young,character,"solo, single person, 30-year-old American soldier, strong jaw, shy brown eyes, short military haircut, wearing WWII US Army uniform with 29th Infantry Division patch, tall and lean with carpenter's hands, 1944 era, photorealistic"
Tom_old,character,"solo, single person, 80-year-old American man, white hair, weathered face with kind eyes, wearing flannel shirt and work vest, carpenter's hands worn from decades of labor, quiet dignity, 1994 era, photorealistic"
Eleanor_young,character,"solo, single person, 20-year-old British woman, bright blue eyes like the English Channel, auburn hair pinned under a white nurse's cap, wearing WWII British Red Cross nurse uniform, warm and radiant smile, 1944 era, photorealistic"
Eleanor_old,character,"solo, single person, 70-year-old British woman, white hair pinned back neatly, clear blue eyes, wearing a lavender cardigan and pearl earrings, gentle and steady presence, English countryside appearance, 1994 era, photorealistic"
George,character,"solo, single person, 87-year-old American man in a wheelchair, sharp intelligent eyes despite aged body, wearing a veteran's cap and plaid shirt, warm smile, nursing home setting, 1994 era, photorealistic"
Richard,character,"solo, single person, 55-year-old American man, graying temples, rigid posture, wearing a dark suit, resembles an older version of Tom, restrained emotional expression, 1994 era, photorealistic"
George_young,character,"solo, single person, 22-year-old American soldier, friendly open face, neat appearance, known for elegant handwriting, wearing WWII US Army uniform with 29th Infantry Division patch, warm smile, 1944 era, no modern clothing, photorealistic"
Margaret,character,"solo, single person, 65-year-old American woman, kind weathered face, graying hair in a practical style, wearing a simple house dress and cardigan, warm and patient demeanor, 1970s-1980s era, photorealistic"
Eleanor_middle,character,"solo, single person, 40-year-old British woman, blue eyes, auburn hair starting to gray, wearing 1960s off-duty clothes, carrying a sense of quiet dignity and loneliness, 1960s era, photorealistic"
Nurse_1944,character,"solo, single person, 30-year-old British nurse, tired compassionate face, wearing WWII military hospital nurse uniform, holding a clipboard, dim hospital lighting, 1944 era, no modern clothing, photorealistic"
cemetery_pennsylvania,scene,"quiet rural cemetery in Pennsylvania, autumn 1994, gray overcast sky, bare trees with falling leaves, rows of modest headstones on rolling green hills, American small-town cemetery, somber peaceful atmosphere, photorealistic"
attic,scene,"dusty old attic in a 1940s American house, wooden beams, stacked cardboard boxes, Army blankets, faded blueprints, sawdust, warm afternoon light filtering through a small window, nostalgic atmosphere, photorealistic"
kitchen_table,scene,"simple American farmhouse kitchen, 1950s style wooden table handmade by a carpenter, warm yellow light, a pocket watch and old letter on the table, kettle steaming, cozy but melancholy atmosphere, photorealistic"
dorset_cliffs,scene,"dramatic white cliffs of Dorset England at sunset, June 1944, military ships gathering in the harbor below, wildflowers on the cliff edge, two figures silhouetted against the golden sky, romantic wartime atmosphere, no modern elements, photorealistic"
field_hospital,scene,"WWII field hospital in Dorset England 1944, rows of canvas tents, medical equipment, wooden supply crates with neat handwritten labels, busy nurses and wounded soldiers, overcast sky, wartime tension, no modern elements, photorealistic"
hospital_southampton,scene,"WWII military hospital ward in Southampton England 1944, rows of iron beds with white sheets, wounded soldiers, dim lighting, rain on windows, somber and clinical atmosphere, no modern elements, photorealistic"
national_archives,scene,"National Archives building in Washington DC, 1994, large institutional reading room, fluorescent lights, rows of filing cabinets and microfilm readers, researchers at long tables, American flags, government building atmosphere, photorealistic"
nursing_home,scene,"nursing home common room in Virginia, 1994, wheelchair-accessible space, soft lighting, television murmuring in background, comfortable chairs, elderly residents, warm institutional atmosphere, photorealistic"
dorset_cemetery,scene,"small military cemetery on the Dorset coast, 1994, white crosses in rows, sea visible in background, seagulls, wind through grass, one woman kneeling at a weathered gravestone, emotional atmosphere, photorealistic"
red_cross_archives,scene,"British Red Cross archives in London, 1994, large room with rows of filing cabinets, fluorescent lighting, stacks of old documents and folders, dust motes in the air, institutional atmosphere, photorealistic"
tom_workshop,scene,"carpenter's workshop in rural Pennsylvania, 1970s, sawdust on the floor, handmade furniture in progress, tools hanging on pegboard walls, warm light from a window, an old stool by the window, a pocket watch in weathered hands, nostalgic atmosphere, photorealistic"
eleanor_flat,scene,"small modest flat in Surrey England, 1960s, a nurse's simple home, keys on a table beside a framed black-and-white photograph of a young soldier, minimal furniture, tidy and sparse, quiet loneliness, photorealistic"
cotswolds_train,scene,"English countryside viewed from a train window, rolling green hills, stone walls, sheep dotting the fields, autumn colors, watercolor-like landscape, peaceful and contemplative, photorealistic"
eleanor_cottage,scene,"charming stone cottage in a Cotswolds village, ivy-covered walls, colorful garden in front, gravel path to a wooden door, birds singing, warm afternoon light, quintessential English countryside, photorealistic"
eleanor_sitting_room,scene,"cozy English cottage sitting room, crackling fireplace, floral armchair, teacups on a side table, a black-and-white photograph of a young soldier on the wall, warm golden light, intimate and lived-in, photorealistic"
tom_grave,scene,"Tom Bennett's gravestone in the Pennsylvania cemetery, autumn, golden sunset light, a brass pocket watch placed on top of the headstone, fallen leaves around the base, peaceful and bittersweet, photorealistic"
two_letters,scene,"extreme close-up of two old letters side by side on a wooden table, one in elegant copperplate handwriting with smudged final lines, one in neat feminine script in a yellowed envelope, warm firelight, symbolic and emotional, photorealistic"
pocket_watch_close,scene,"extreme close-up of a brass pocket watch being opened, engraved initials T.B. & E.P. on the back, a folded yellowed letter visible inside, warm light, shallow depth of field, intimate and mysterious, photorealistic"
cinematic_1940s,style,"cinematic photorealistic style, warm golden hour lighting mixed with moody overcast tones, 1940s wartime aesthetic blended with 1990s nostalgia, film grain texture, shallow depth of field, emotional intimate framing, inspired by Saving Private Ryan and The Notebook color palette"
