scene_number,start_time,end_time,duration,prompt,prompt_ko,subtitle,characters,scene_tag,media_type
1,0,6.481,6.481,"Close-up of an aged brass pocket watch being opened by elderly feminine hands, revealing a yellowed folded letter inside. Warm autumn light, 1994 color palette, cinematic shallow depth of field.",1994년 가을 죽은 남자의 회중시계에서 편지를 발견하는 장면,"In the autumn of 1994, a woman opened a dead man's pocket watch and found a letter inside.",Narrator,prologue,image
2,6.481,21.086,14.605,"Extreme close-up of an old handwritten letter with elegant penmanship on yellowed paper, candlelight casting warm glow. The bottom lines are smudged and unreadable. Ink faded to tea color, WWII era stationery.",50년 전 D-Day 전야에 쓴 편지의 클로즈업,"It had been written fifty years earlier, on the night before D-Day, by a young soldier to the woman he loved. The words were beautiful. The penmanship was elegant. And the last two lines were smudged beyond reading.",Narrator,prologue,image
3,21.086,30.571,9.485,"A quiet suburban street in rural Pennsylvania, 1950s-1990s feel. A modest wooden house with a carpenter's workshop. A solitary older man in work clothes walks along a tree-lined road. Muted autumnal tones, melancholic atmosphere.",전쟁에서 살아 돌아온 병사가 다른 여자와 결혼하고 조용한 삶을 사는 모습,"The soldier survived the war. He came home. He married someone else. He lived a long, quiet life. He never sent the letter.",Narrator,prologue,image
4,30.571,47.06,14.267,"Dramatic close-up of the pocket watch lying open on a wooden table, the folded letter visible inside. A faded photograph of a young woman in a nurse's uniform sits nearby. Dust particles float in a beam of light. Mystery and longing atmosphere.",왜 50년간 연애편지를 보내지 않았는지에 대한 의문 제기,"The question is — why? Why would a man carry a love letter for fifty years and never mail it? What was written in those smudged lines that he wanted no one to see? And the woman it was meant for — Eleanor Parish — what happened to her?",Narrator,prologue,image
5,47.06,55.19,8.131,"Title card sequence: elegant typography over a backdrop of two overlapping letters on aged paper, a pocket watch between them. Warm golden light, cinematic grain. Title: Words I Never Said.",두 편지와 두 삶의 이야기 소개와 타이틀,"This is the story of two letters, two lives, and a love that waited half a century to be heard. This is ""Words I Never Said.""",Narrator,prologue,image
6,55.19,63.708,8.519,"Wide shot of a quiet rural Pennsylvania cemetery on a gray October morning, 1994. Bare trees, fallen leaves, overcast sky. A young woman in a dark coat (Sophie, 28) stands alone before a fresh grave.",1994년 10월 회색빛 아침 할아버지의 묘지에 서 있는 소피,"On a gray October morning in 1994, Sophie Bennett stood at her grandfather's grave and realized she had never really known him.",Sophie,cemetery_pennsylvania,image
7,63.708,74.447,10.739,"Close-up of a weathered gravestone reading Thomas Bennett. Intercut with flashes of old hands planing wood, a quiet man at a workbench, a closed wooden chest. Warm sepia undertones.",토마스 베넷 - 80세의 목수이자 과묵한 남자,"Thomas Bennett. Eighty years old. A carpenter. A quiet man who built things with his hands and kept everything else locked inside his chest.",Narrator,cemetery_pennsylvania,image
8,74.447,82.7,8.253,"Cemetery gathering: sparse mourners under a gray sky. A middle-aged man (Richard) stands stiffly in a dark suit. A handful of elderly neighbors with umbrellas among autumn gravestones. Wide establishing shot.",장례식 참석자들 - 소수의 이웃들과 경직된 아버지 리처드,"The mourners were few. A handful of neighbors. Sophie's father, Richard, standing rigid as a fence post.",Sophie;Richard,cemetery_pennsylvania,image
9,82.7,89.941,7.241,"Sophie standing apart at the cemetery, looking lost and conflicted in her dark coat. Fallen leaves at her feet, distant church steeple. She gazes at the fresh grave with hollow uncertainty.",28세의 소피가 왜 이렇게 공허한지 의아해하는 장면,"And Sophie — twenty-eight, just back from New York, wondering why she felt so hollow over a man she'd visited only at Christmas.",Sophie,cemetery_pennsylvania,image
10,89.941,103.243,13.302,"Medium shot of Richard speaking to Sophie at the cemetery gate. Adjacent grave of Margaret Bennett (d. 1988) visible. Six years of solitude implied by the quiet empty house in the background. Autumn wind blows leaves.",리처드가 할머니 옆에 묻어달라는 유언을 전하는 장면,"""He didn't want a fuss. Said just put him in the ground next to your grandmother."" Margaret Bennett had been buried here since 1988. Six years Tom had lived alone in that house. Six years of silence.",Richard;Sophie,cemetery_pennsylvania,image
