prompt,subtitle,characters,scene_tag,style_tag,shot_type,duration,parent_scene
"Extreme close-up of weathered hands opening a brass pocket watch, a folded yellowed letter falls out, warm light, shallow depth of field","In the autumn of 1994, a woman opened a dead man's pocket watch and found a letter inside.",Sophie,pocket_watch_close,cinematic_1940s,narration,8,H001
"Close-up of faded handwriting on yellowed paper, elegant penmanship, candlelight warmth, the last two lines smudged and unreadable","It had been written fifty years earlier, on the night before D-Day, by a young soldier to the woman he loved.",Sophie,pocket_watch_close,cinematic_1940s,narration,10,H001
"Young soldier in 1944 uniform folding a letter, then an old man in 1994 holding the same letter, split composition","The soldier survived the war. He came home. He married someone else. He never sent the letter. The question is — why?","Tom_young,Tom_old",dorset_cliffs,cinematic_1940s,narration,12,H002
"Small rural cemetery in Pennsylvania, gray October morning, bare trees, a handful of mourners in dark coats standing around a fresh grave","On a gray October morning in 1994, Sophie Bennett stood at her grandfather's grave and realized she had never really known him.","Sophie,Richard",cemetery_pennsylvania,cinematic_1940s,scene,10,S001
"Sophie standing apart from the small group of mourners, looking hollow and distant, autumn leaves falling around her","Thomas Bennett. Eighty years old. A carpenter. A quiet man who built things with his hands and kept everything else locked inside his chest.",Sophie,cemetery_pennsylvania,cinematic_1940s,narration,10,S001
"Richard handing Sophie a small key, his face rigid and controlled, the cemetery in soft focus behind them","After the service, Richard handed Sophie a key. Someone has to sort through his things.","Sophie,Richard",cemetery_pennsylvania,cinematic_1940s,dialogue,8,S001
"Dusty attic filled with old boxes and Army blankets, afternoon light through a small window, Sophie discovering a cigar box","Tom's attic smelled of sawdust and decades. Sophie moved through boxes of old tools, faded blueprints, a lifetime of carpentry.",Sophie,attic,cinematic_1940s,scene,10,S002
"Close-up of a beautiful brass pocket watch in Sophie's hands, worn smooth, engraved T.B. and E.P. on the back","Sophie turned it over. On the back, two sets of initials had been engraved: T.B. & E.P.",Sophie,attic,cinematic_1940s,narration,10,S002
"Sophie carefully opening the watch, a tiny folded yellowed letter inside the mechanism, her hands trembling","Sophie pressed the clasp. The watch opened. Inside, folded so many times it had become part of the mechanism, was a single sheet of paper.",Sophie,attic,cinematic_1940s,scene,10,S003
"Sophie at a farmhouse kitchen table, reading the letter under warm light, the elegant handwriting visible","Sophie sat at her grandfather's kitchen table and began to read. The handwriting was elegant. Almost too elegant.",Sophie,kitchen_table,cinematic_1940s,scene,10,S004
