scene_number,chapter,start_time,end_time,duration,subtitle,characters,location,segment_ids,prompt
1,Hook,0.000,6.559,6.6,"In the autumn of 1994, a woman opened a dead man's pocket watch and found a letter inside.",Narrator,Close-up pocket watch, 1994,"Extreme close-up of elderly woman's weathered hands opening an antique brass pocket watch, a yellowed folded letter visible inside the back plate, warm amber light, cinematic shallow depth of field, 1994 autumn afternoon"
2,Hook,6.559,17.873,11.3,"It had been written fifty years earlier, on the night before D-Day. The words were beautiful. The penmanship was elegant. And the last two lines were smudged beyond reading.",Narrator,Close-up pocket watch, 1994,"Close-up of a yellowed handwritten letter with elegant copperplate penmanship, the bottom lines smudged and blurred by old water damage, candlelight glow on aged paper, vintage texture"
3,Hook,17.873,31.961,14.1,"The soldier survived the war. He came home. He married someone else. He never sent the letter. Why would a man carry a love letter for fifty years and never mail it? This is ""Words I Never Said.""",Narrator,Close-up pocket watch, 1994,"Silhouette of a young soldier walking alone down a suburban American street in the 1940s, carrying a duffel bag, golden hour light, nostalgic sepia tone, wide establishing shot"
4,Ch1,31.961,39.409,7.4,"On a gray October morning, Sophie Bennett stood at her grandfather's grave and realized she had never really known him.",Narrator,Cemetery, Pennsylvania,"A young woman in a dark coat standing at a fresh grave in a small rural Pennsylvania cemetery, gray overcast October sky, bare trees, fallen leaves on the ground, somber mood, wide shot"
5,Ch1,39.409,54.174,14.8,Thomas Bennett. Eighty years old. A carpenter. A quiet man who built things with his hands and kept everything else locked inside his chest. (Richard) He didn't want a fuss. Said just put him in the ground next to your grandmother.,Narrator, Richard,Cemetery,"A modest headstone reading the name of an elderly man, surrounded by autumn leaves, a middle-aged man in a dark suit standing rigid nearby, rural cemetery, muted colors"
6,Ch1,54.174,60.472,6.3,"After the service, Richard handed Sophie a key. ""Someone has to sort through his things. I can't do it.""",Narrator,Cemetery, Pennsylvania,"Close-up of a man's hand extending an old brass house key to a young woman, cemetery background blurred, emotional moment, autumn light filtering through bare branches"
7,Ch1,60.472,70.349,9.9,"Sophie took the key. She had things she'd never said to him either — visits she'd skipped, calls she'd cut short. Maybe that's why the key felt so heavy.",Narrator,Cemetery, Pennsylvania,"A young woman in her late twenties walking alone through a cemetery gate, holding a key tightly, looking back over her shoulder with a conflicted expression, autumn dusk"
8,Ch2,70.349,79.155,8.8,Tom's attic smelled of sawdust and decades. In a cigar box tucked behind Army blankets — a pocket watch.,Narrator,Toms attic, afternoon,"A dusty attic filled with old carpentry tools, faded blueprints, and Army blankets, a beam of afternoon light illuminating a small cigar box, sawdust particles floating in the air"
9,Ch2,79.155,90.077,10.9,"Brass, worn smooth by years of handling. On the back, two sets of initials: T.B. & E.P. Thomas Bennett — and someone who was not her grandmother.",Narrator,Toms attic, afternoon,"Extreme close-up of a beautiful antique brass pocket watch in a woman's hands, the engraved initials T.B. and E.P. visible on the back, warm golden light, shallow depth of field"
10,Ch2,90.077,101.469,11.4,"Sophie pressed the clasp. Behind the back plate, folded so thin it had molded to the metal, was a single sheet of paper. A letter. Yellow with age.",Narrator,Toms attic, afternoon,"A woman's trembling fingers carefully unfolding a thin yellowed letter from behind the back plate of a pocket watch, attic setting, dust motes in light beam, cinematic close-up"
11,Ch2,101.469,116.103,14.6,"The handwriting was elegant. Almost too elegant. ""My dearest Eleanor. I am writing this by candlelight in a tent that leaks when it rains. Tomorrow we cross the Channel. I don't know what waits for us on the other side.""",Narrator,Toms attic, afternoon,"Close-up of elegant handwritten text on aged paper, candlelight reflecting off the ink, the words 'My dearest Eleanor' visible at the top, warm amber tones, romantic nostalgic mood"
12,Ch2,116.103,129.091,13.0,The letter spoke of walks along the English coast. Of a promise made under stars. But the last two lines were ruined — the ink smeared beyond reading. Sophie called her father.,Narrator,Toms attic, afternoon,"A young woman sitting alone at an old wooden kitchen table reading a letter with tears forming in her eyes, a pocket watch beside the letter, afternoon window light, emotional intimate portrait"
13,Ch2,129.091,141.377,12.3,"(Sophie) Dad, who is Eleanor Parish? (Richard) Put it back. Don't mention that name again. He hung up. And Sophie knew this letter was the reason her grandfather had been quiet all his life.",Sophie, Richard, Narrator,"Split composition: a young woman holding a phone to her ear looking shocked on one side, the yellowed letter on the table on the other side, dramatic lighting, tension"
14,Ch3,141.377,156.016,14.6,"Sophie drove to her father's house. Richard sat in the dark, a glass of whiskey untouched. (Sophie) His last words, Dad. What were Grandpa's last words? (Richard) He said... 'Tell her I'm sorry.' (Sophie) Tell who?",Narrator, Sophie, Richard,"A dimly lit living room at night, a middle-aged man sitting in an armchair in darkness with an untouched glass of whiskey, his daughter standing in the doorway, dramatic chiaroscuro lighting"
15,Ch3,156.016,170.128,14.1,"(Richard) Her name was Eleanor Parish. A British nurse. He met her in England before D-Day. That's all he ever told me. Sophie held the watch in her pocket. The ticking felt like a heartbeat — patient, waiting.",Richard, Narrator,Richards house,"Close-up of a middle-aged man's face in shadow, eyes glistening with restrained emotion, speaking about the past, dark room with single lamp light, intimate emotional portrait"
16,Ch3,170.128,176.923,6.8,She was going to find Eleanor Parish. She was going to deliver the words her grandfather never said.,Narrator,Richards house, evening,"A determined young woman standing by a window at night, holding a pocket watch against her chest, city lights reflected in the glass, resolute expression, cinematic framing"
17,Ch4,176.923,185.729,8.8,"Before flying to England, Sophie tracked down George Whitfield — eighty-seven years old, Tom's closest friend from the war.",Narrator,Nursing home, Virginia,"A bright nursing home common room, an elderly man in a wheelchair by a window, sharp intelligent eyes despite his frail body, afternoon sunlight, a young woman sitting across from him"
18,Ch4,185.729,200.655,14.9,(George) Tommy Bennett. My God. Those two — Tommy and Eleanor — they were the only beautiful thing in that whole ugly war. (Sophie) What happened to them? (George) D-Day happened. Then George said something Sophie filed away without understanding.,George, Sophie, Narrator,"Close-up of an elderly man's weathered face breaking into a warm nostalgic smile as he remembers the past, his eyes distant and wistful, soft natural light from a window"
19,Ch4,200.655,208.155,7.5,"(George) Your grandfather couldn't write worth a damn. Hands made for plows, not pens. I used to write his letters home for him.",George,Nursing home, Virginia,"Flashback image: a young 1940s soldier struggling to write a letter by lamplight in a military barracks, crossing out words on paper, his large carpenter's hands awkward with a pen"
20,Ch4,208.155,218.712,10.6,"(George) The night before D-Day, Tom asked Eleanor to marry him. She said yes. The next morning, the boats left for Normandy. That was the last time he saw her.",George,Nursing home, Virginia,"Flashback: a young soldier and a young nurse in 1940s military uniforms standing on an English cliff overlooking the sea at sunset, the night before D-Day, romantic and bittersweet"
21,Ch5,218.712,226.889,8.2,In England Sophie hit a wall. The British Red Cross had no record of an Eleanor Parish. Three weeks of calls two dead-end leads.,Narrator,Dorset cemetery / London archives,34a,"A frustrated young woman in a London phone booth surrounded by scattered papers and notes, rain streaking down the glass, 1994 setting, muted blue-gray color palette"
22,Ch5,226.889,235.067,8.2,One Eleanor Parish in Surrey who turned out to be a dentist born in 1955.,Narrator,Dorset cemetery / London archives,34b,"A suburban front door being opened by a confused middle-aged woman, a disappointed young woman on the doorstep holding a photograph, wrong lead, gray English suburban street"
23,Ch5,235.067,250.067,15.0,"Then a clerk mentioned the bombing records. June 7, 1944 — a Luftwaffe strike on a field hospital. The casualty list included ""E. Parish."" She found the grave. Knelt down. Brushed away the moss.",Narrator,Dorset cemetery / London archives,35+36,"A young woman kneeling at a small white military gravestone in a Dorset coastal cemetery, brushing moss away with her fingers, sea wind blowing her hair, overcast sky, seagulls"
24,Ch5,250.067,261.621,11.6,"""Edith Parish. 1921–1944."" Edith. Not Eleanor. A different woman. A different nurse. The same initial. Eleanor had survived.",Narrator,Dorset cemetery / London archives,37+38+39,"Extreme close-up of a gravestone inscription reading 'Edith Parish 1921-1944', the woman's hand frozen mid-motion, shock and realization dawning, shallow depth of field"
25,Ch5,261.621,273.248,11.6,"At the British Red Cross archives, Sophie found the second mistake. Eleanor's file contained a note: ""Informed that PFC Thomas Bennett was killed in action at Omaha Beach.""",Narrator,Dorset cemetery / London archives,40,"A dimly lit archive room filled with rows of filing cabinets and stacked documents, a woman holding an open folder under a single desk lamp, the text 'killed in action' visible, dramatic lighting"
26,Ch5,273.248,278.423,5.2,Killed in action. Except Tom hadn't died. He'd been wounded and survived.,Narrator,Dorset cemetery / London archives,41,"Close-up of a typewritten military document with the words 'killed in action' circled, a woman's trembling hand holding the page, archival setting, harsh fluorescent light"
27,Ch5,278.423,291.174,12.8,"Two clerical errors. Two single letters. In the chaos of the largest military operation in history, two people who loved each other spent fifty years believing the other was dead.",Narrator,Dorset cemetery / London archives,42,"A woman sitting alone in a vast archive room surrounded by towering shelves of documents, head bowed, overwhelmed by the weight of fifty years of misunderstanding, cinematic wide shot"
28,Ch5,291.174,293.658,2.5,Sophie sat in that archive and wept.,Narrator,Dorset cemetery / London archives,43,"A young woman weeping silently in an archive reading room, papers spread before her, tears falling on the desk, soft overhead light creating a pool of warmth in the dark room"
